rank,slug,topic,evidence_state,grade,score,n_sources,strength_band,full_anchor,partial_anchor,weak_anchor,disputed,t3_clinical,practice,weak_only,tier_profile,n_true_jurisdictions,n_jurisdictions_raw,jurisdictions,n_languages,languages,pct_english,n_nonenglish,pct_anglo_core,anglo_core_instances,supra_instances,non_anglo_instances,null_jurisdiction_instances,comp_volume,comp_tier,comp_jurisdiction,comp_language,comp_anglo_balance,search_langs_run,search_langs_hit
1,cognitive-wayfinding-design,wayfinding-and-signage,RETRACTED-PRE-REHAB,A,89.6,25,full,16,7,2,0,11,0,0,T2:5;T3:12;T5:7;T6:1,13,13,INT:8;NL:3;SG:2;KR:2;NO:1;UK:1;FR:1;DE:1;AU:1;CN:1;IT:1;DK:1;SE:1,9,en:16;nl:2;no:1;fr:1;de:1;ko:1;zh:1;da:1;sv:1,64.0,9,8.3,2,8,14,1,20,25.0,20,15,9.6,19,14
2,wayfinding-dementia-spatial-design,wayfinding-and-signage,RETRACTED-PRE-REHAB,A,88.2,35,full,25,5,5,0,10,0,0,T1:6;T2:9;T3:11;T5:5;T6:4,19,19,US:7;INT:3;NL:2;UK:2;NO:2;DK:2;GB:2;AU:2;HK:1;CN:1;FI:1;IT:1;ES:1;FR:1;JP:1;KR:1;SE:1;DE:1;CA:1,13,en:21;no:2;da:2;zh:1;fi:1;it:1;es:1;fr:1;ja:1;ko:1;nl:1;sv:1;de:1,60.0,14,36.4,12,3,18,2,20,25.4,20,15,7.8,19,14
3,sensory-room-user-control,sensory-environment,RETRACTED-PRE-REHAB,A,87.4,14,full,13,0,1,0,7,0,0,T2:6;T3:7;T6:1,9,9,UK:3;INT:3;AU:1;IT:1;US:1;FR:1;CN/INT:1;KR:1;CL:1,4,en:10;ko:2;fr:1;es:1,71.4,4,38.5,5,4,4,1,20,28.6,20,12,6.8,19,14
4,stair-ramp-threshold-biomechanics-accessibility,entrances-and-circulation,RETRACTED-PRE-REHAB,A,85.7,27,full,14,3,10,0,13,0,0,T2:1;T3:14;T4:1;T5:2;T6:9,15,15,INT:12;UK:2;SE:1;IT:1;PT:1;CA:1;US:1;NO:1;FR:1;DE:1;FI:1;DK:1;CN:1;ES:1;NL:1,12,en:16;sv:1;it:1;pt:1;no:1;fr:1;de:1;fi:1;da:1;zh:1;es:1;nl:1,59.3,11,14.8,4,12,11,0,20,21.3,20,15,9.4,19,14
5,mental-health-built-environment,population-general,RETRACTED-PRE-REHAB,A,85.5,37,full,27,3,6,1,22,0,0,T1:3;T2:3;T3:28;T4:1;T5:2,11,11,DE:10;INT:6;US:5;NL:5;AU:3;UK:2;JP:2;GB:1;NO:1;CA:1;AT:1,5,en:22;de:10;nl:2;ja:2;fr:1,59.5,15,29.7,11,6,20,0,20,25.2,20,12,8.3,19,10
6,residential-kitchen-and-task-surfaces,kitchens-and-workspaces,RETRACTED-PRE-REHAB,A,85.2,30,full,20,5,5,0,6,0,0,T1:2;T2:12;T3:6;T4:1;T5:4;T6:5,10,10,US:3;UK:2;AU:1;DE:1;CN:1;BE:1;ISO:1;IT:1;PT:1;KR:1,7,en:24;de:1;zh:1;fr:1;it:1;pt:1;ko:1,80.0,6,46.2,6,1,6,17,20,24.7,20,15,5.5,19,12
7,room-acoustic-performance,sensory-environment,RETRACTED-PRE-REHAB,A,84.8,32,full,19,10,3,0,4,0,0,T1:14;T2:1;T3:6;T4:2;T5:8;T6:1,13,13,US:11;INT:7;UK:3;IT:2;DE:1;NO:1;CN:1;JP:1;CA:1;FR:1;AU/NZ:1;DK:1;IN:1,8,en:25;de:1;it:1;no:1;zh:1;ja:1;fr:1;da:1,78.1,7,50.0,16,7,9,0,20,24.4,20,15,5.4,19,10
8,mobility-built-environment,population-general,RETRACTED-PRE-REHAB,A,84.4,24,full,13,5,6,0,4,0,0,T1:7;T2:2;T3:5;T5:5;T6:5,17,17,US:4;AU:3;JP:2;NZ:2;UK:1;NO:1;SE:1;INT:1;NL:1;FR:1;CA:1;SG:1;BR:1;CH:1;IE:1;FI:1;DE:1,9,en:14;ja:2;fr:2;no:1;sv:1;nl:1;pt:1;fi:1;de:1,58.3,10,50.0,12,1,11,0,20,22.5,20,15,6.9,19,12
9,deaf-classroom-reverberation-time,communication-and-alerts,RETRACTED-PRE-REHAB,A,84.2,12,full,2,7,3,0,0,0,0,T1:2;T4:1;T5:6;T6:3,9,9,US:3;IT:2;DE:1;NO:1;CN:1;FI:1;FR:1;SE:1;NL:1,9,en:3;it:2;de:1;no:1;zh:1;fi:1;fr:1;sv:1;nl:1,25.0,9,25.0,3,0,9,0,20,18.0,20,15,11.2,19,14
10,deaf-spatial-design,communication-and-alerts,RETRACTED-PRE-REHAB,A,82.4,13,full,8,1,4,0,2,0,0,T1:5;T2:1;T3:5;T5:1;T6:1,8,8,US:5;JP:2;INT:1;INT/ZA:1;GH:1;SE:1;IT:1;DE:1,5,en:8;ja:2;sv:1;it:1;de:1,61.5,5,38.5,5,2,6,0,20,22.9,20,12,7.5,19,14
